5TH MOVE: -1559, e4e8
5TH MOVE: -1559, e4e7
5TH MOVE: -1557, e4g6
5TH MOVE: -1556, e4e6
5TH MOVE: -1556, e4c6
5TH MOVE: -1554, e4f5
5TH MOVE: -1404, e4e5
5TH MOVE: -1404, e4d5
5TH MOVE: -1524, e4f3
5TH MOVE: -1524, e4e3
5TH MOVE: -1524, e4d3
5TH MOVE: -1519, e4g2
5TH MOVE: -1519, e4e2
5TH MOVE: -1519, e4c2
5TH MOVE: -1559, e4h1
5TH MOVE: -1559, e4e1
5TH MOVE: -1559, e4b1
5TH MOVE: -1357, b7b6
5TH MOVE: -1358, a7a6
5TH MOVE: -1358, h6h5
5TH MOVE: -1499, d4d3
5TH MOVE: -1329, b7b5
5TH MOVE: -1332, a7a5
4TH MOVE: 1356, d5c7
3RD MOVE: 1356, a8c8
5TH MOVE: 7516, f8f7
4TH MOVE: 7516, f6f7
5TH MOVE: 7491, h7h6
4TH MOVE: 7491, f6h6
5TH MOVE: 966, e4d5
5TH MOVE: -934, e4f4
5TH MOVE: 7266, e4d4
4TH MOVE: 7266, f6d4
5TH MOVE: -429, e4f4
5TH MOVE: -1384, f8g8
5TH MOVE: -1384, b8e8
5TH MOVE: -1384, b8d8
5TH MOVE: -1384, b8c8
5TH MOVE: -1384, b8a8
5TH MOVE: -1384, h7h8
5TH MOVE: -1384, h7g7
5TH MOVE: -1559, e4e8
5TH MOVE: -1559, e4e7
5TH MOVE: -1557, e4g6
5TH MOVE: -1556, e4e6
5TH MOVE: -1556, e4c6
5TH MOVE: -1554, e4f5
5TH MOVE: -1404, e4e5
5TH MOVE: -1404, e4d5
5TH MOVE: -1524, e4f3
5TH MOVE: -1524, e4e3
5TH MOVE: -1524, e4d3
5TH MOVE: -1519, e4g2
5TH MOVE: -1519, e4e2
5TH MOVE: -1519, e4c2
5TH MOVE: -1559, e4h1
5TH MOVE: -1559, e4e1
5TH MOVE: -1559, e4b1
5TH MOVE: -1357, b7b6
5TH MOVE: -1358, a7a6
5TH MOVE: -1358, h6h5
5TH MOVE: -1499, d4d3
5TH MOVE: -1329, b7b5
5TH MOVE: -1332, a7a5
4TH MOVE: -429, d5c7
3RD MOVE: -429, a8b8
