fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
3r1rk1/1p3ppp/p1pbbn2/4p3/P1P4P/2N1PNP1/1P3P2/R3KB1R b KQ - 0 14,vssf_2700,53,-1.148,0.0,-1.57,-0.41,quiet,0,0,0,0,-1.76
kr6/1b1rn1bn/p2p2pp/2pPpp2/2P1P2P/3KNPPB/Q2B4/1R6 b - - 1 32,vssf_2400,37,3.41,1.26,3.26,0.71,ks,3,1,0,0,3.39
r3k2r/pp1qp1b1/2n1Rnpp/3p2p1/2PP4/BP4P1/P2N1PBP/R2Q2K1 w kq - 1 16,vssf_2700,10,1.891,0.0,2.33,0.73,quiet,0,2,0,0,2.05
1r2k1r1/3n2qp/b1p5/P3np2/Q1p1p2P/4P3/PN1b1P2/1R1K1BNR b - - 1 23,vssf_2700,5,-11.07,-3.42,-13.43,-5.0,quiet,1,0,0,0,-7.13
r1bqkbnr/1p1n1p1p/p2p2p1/2pP4/Q7/P1N1P1P1/1P3PBP/R1B1K1NR b KQkq - 0 10,vssf_2700,0,2.405,1.44,1.88,1.31,quiet,0,1,0,0,-0.59
8/P7/8/3k4/1P6/8/8/6K1 b - - 0 43,vssf1_win_d8,128,6.43,0.0,4.53,-0.66,quiet,0,1,0,0,99.0
8/8/6B1/8/1p6/4k3/1K6/8 b - - 13 76,vssf_2400,122,6.202,0.0,-0.13,-0.57,quiet,1,1,0,0,-0.1
8/2p5/p2n1k2/1p1Pp3/1P5P/P1r5/6R1/5K2 w - - 4 70,vssf_2400,101,-7.551,0.0,-4.99,1.06,ks,0,3,0,0,-5.28
8/5pk1/p4np1/2pn2Bp/3p3P/P5P1/1P1K1PB1/8 b - - 0 38,vssf_2700,106,-1.443,0.0,-0.61,-1.29,quiet,2,1,0,0,0.48
6k1/6pp/1r1P1b2/3P1p2/8/3R3P/3NKPP1/r7 w - - 0 33,vssf_2700,85,-5.235,0.0,-4.19,-0.47,quiet,1,0,0,0,-3.95
3k4/3p3p/4q3/1Nb1p3/K4p2/5b2/3Q3P/1R3B2 b - - 7 37,vssf_2400,53,-2.276,-0.72,0.85,-0.77,quiet,2,2,0,0,1.2
rr4k1/4b1pp/bP1p4/3PPp2/3R4/p1B2N1P/5PP1/4K2R w K - 1 26,vssf_2700,64,0.096,0.0,0.75,0.45,quiet,1,0,0,0,-2.2
r1bQRqkr/1p1p4/p2P3p/2pn1pp1/5P2/4R2N/6PP/6K1 b - - 4 39,vssf_2400,26,-8.652,0.0,-4.0,1.87,quiet,0,1,0,0,7.78
