fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
4r1k1/5ppp/2qp4/2pp4/P1r4P/1Q3PP1/5PK1/R2R4 w - - 3 28,vssf_2700,42,-5.422,0.0,-1.2,-0.6,quiet,0,0,0,0,
2r5/1p4p1/p4bk1/8/1Pr2PP1/Pn2B2p/4R2P/1N1R1K2 b - - 0 33,vssf_2700,64,2.702,0.0,0.36,-0.24,quiet,1,2,0,0,
r3kbnr/1p1n1ppp/p7/3pPp2/2pP4/2P1B3/P1Q1BPPP/5NK1 b kq - 0 14,vssf_2700,53,1.068,0.0,0.76,0.17,quiet,0,0,0,0,
2r1kb1r/1pqn1ppp/p3b3/6P1/Q2pP2P/P1N2P2/1PP1B3/2KR3R w k - 0 20,vssf_2400,16,-4.066,-1.62,-3.32,-1.46,quiet,0,1,0,0,
1r1qr1k1/p4pp1/2n4p/2Pp4/N1b3Pb/P2p3P/Q4PB1/1RB2NK1 w - - 1 24,vssf_2700,16,-4.394,0.0,-7.08,-0.74,quiet,1,0,0,0,
rnbqk2r/1p1pbppp/p7/2pn4/2Pp4/4PNP1/PP3PBP/R1BQK2R w KQkq - 0 9,vssf_2700,5,-1.592,0.0,-4.15,-0.75,quiet,0,0,0,0,
3qk2r/1p1bbpp1/1rn1p2p/p2pB2n/3P3P/2N2NPB/PPQ1PP2/2R2K1R w k - 6 16,vssf_2700,0,1.844,0.0,0.46,-0.15,quiet,0,0,0,0,
8/8/2p2p2/3k4/PP1Pp3/7p/4PP1P/6K1 w - - 1 40,vssf1_win_d8,128,3.817,0.0,2.03,0.26,quiet,1,2,0,0,
6R1/8/pkp5/8/1PK5/8/P1P5/8 w - - 0 46,vssf1_win_d8,117,12.014,0.0,6.93,0.0,ks,3,2,0,0,
n7/P3k3/5pp1/7p/7P/6P1/3R1P2/7K w - - 0 50,vssf_2400,112,6.663,0.0,6.55,2.38,quiet,0,1,0,0,
8/8/Pk6/5pPp/3b4/6P1/2Q4K/r7 w - - 7 83,vssf_2400,90,5.126,0.0,2.72,-0.09,quiet,2,2,0,0,
8/3Q1ppk/p3p3/8/2P5/P1P1P1Pp/1rq4P/4KR2 w - - 5 33,vssf_2400,64,0.001,-3.3,-4.68,-11.17,quiet,1,0,0,0,
