tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
placement_bundle,92,16,-1.091,3.700,-4.791,10,3r4/1R6/4k1p1/r1b2p1p/4p3/P1R3PP/3N1PK1/8 w - - 2 47
placement_bundle,54,18,0.856,-3.930,4.786,10,4r1k1/2B3pp/p1r5/3q4/P3b2P/6P1/1P3P1R/2R1QK2 w - - 3 28
ship_lightning,62,19,-1.756,3.030,-4.786,8,6k1/1pq2ppp/7r/p1Pp1n2/P1P5/B3P3/1R3K2/3Q3R w - - 3 32
nmp_standard,63,21,1.499,-3.280,4.779,13,rr4k1/4qp1p/5Np1/p2b4/6PP/1P1P1P2/P3B3/1KQR2R1 b - - 0 32
nmp_standard,57,24,2.262,-2.510,4.772,12,rr4k1/4qp1p/2b2np1/p3b1B1/6PP/1PNP1P2/P3B3/1KQR2R1 b - - 0 29
away_blitz,78,18,-0.624,4.140,-4.764,17,6k1/1R3np1/3bpr2/P3p3/3pP2p/2N1BP1P/6P1/4K3 w - - 1 40
placement_bundle,40,30,-0.735,4.020,-4.755,9,1nkrnb1r/pp3p1b/2p1p2p/1P2q1p1/2PN4/P2PB1NP/1Q2BPP1/R1R3K1 w - - 1 21
placement_bundle,77,23,0.740,-4.010,4.750,10,2r2k2/6p1/1ppb3r/p1p2R1p/P1P2p1q/1PQP4/3B1P1N/4R1K1 b - - 4 39
placement_bundle,63,17,1.125,-3.620,4.745,13,1k6/2p4p/p2r2p1/2N2p2/1P3P2/P4BP1/7P/1r4BK b - - 0 32
placement_bundle,63,21,0.885,-3.850,4.735,10,2r3k1/5pb1/4p1p1/1p1r2P1/p2PQP2/1Pq1B3/P1P4R/1K1R4 b - - 1 32
placement_bundle,88,17,-1.212,3.520,-4.732,12,4n3/1b4k1/1N2p3/1p1p1pBp/3r3P/1P4P1/R4PK1/8 w - - 0 45
